Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference
1,6,1727-4284-1-ND,"PSMN5R5-60YS,115",MOSFET N-CH 60V 100A LFPAK,"Q1, Q3, Q5, Q2, Q4, Q6, "
2,1,497-16978-ND,STSPIN32F0,IC BLDC CTLR STM32 48VFQFPN,"U1, "
3,2,SW1020CT-ND,B3U-1000P,SWITCH TACTILE SPST-NO 0.05A 12V,"CALIB1, ID1, "
4,1,1589-1515-1-ND,MA700GQ-Z,SENSOR ANGLE SMD,"U3, "
5,1,LTC2876IDD#PBF-ND,LTC2876IDD#PBF,IC TXRX RS485 60V PROFIBUS 8DFN,"U2, "
6,1,490-17961-1-ND,CSTNE8M00GH5C000R0,CER RES 8.0000MHZ 33PF SMD AUTOM,"Y1, "
7,1,1175-1629-ND,3220-10-0300-00,CONN HEADER SMD 10POS 1.27MM,J1
8,6,RMCF0603JT10R0CT-ND,RMCF0603JT10R0,RES 10 OHM 5% 1/10W 0603,"R3, R4, R5, R6, R7, R8, "
9,3,P20235CT-ND,ERJ-PB3D3900V,RES SMD 390 OHM 0.5% 1/5W 0603,"R9, R1, R2, "
10,1,P20397CT-ND,ERJ-PB3D1002V,RES SMD 10K OHM 0.5% 1/5W 0603,"R10, "
11,1,587-2168-1-ND,BRL3225T220K,FIXED IND 22UH 470MA 828 MOHM,"L1, "
12,1,490-10510-1-ND,GRM21BR60G107ME15L,CAP CER 100UF 4V X5R 0805,"C1, "
13,1,490-10749-1-ND,GRM21BR61E226ME44L,CAP CER 22UF 25V X5R 0805,"C2, "
14,1,1276-3137-1-ND,CL31B225KBHNFNE,CAP CER 2.2UF 50V X7R 1206,"C3, "
15,4,1276-1102-1-ND,CL10A105KA8NNNC,CAP CER 1UF 25V X5R 0603,"C4, C5, C6, C7, "
16,1,720-1962-1-ND,VJ0603Y104MXJAC,CAP CER 0.1UF 16V X7R 0603,"C8, "
17,2,DB2J40700LCT-ND,DB2J40700L,DIODE SCHOTTKY 40V 500MA SMINI2,"D1, D4,"
18,3,511-1578-1-ND,SML-D12M8WT86,LED GREEN DIFFUSED 0603 SMD,"D2, D3, D5, "
