Ref,Val,Package,PosX,PosY,Rot,Side
C1,GRM21BR60G107ME15L,C_0805 (inches),70.75,-46.05,180,top
C2,GRM21BR61E226ME44L,C_0805 (inches),70.15,-50.3,90,top
C3,CL31B225KBHNFNE,C_1206 (inches),58.2,-44.4,0,top
C4,CL10A105KA8NNNC,C_0603 (inches),57.8,-51.8,0,top
C5,CL10A105KA8NNNC,C_0603 (inches),57.8,-49.75,0,top
C6,CL10A105KA8NNNC,C_0603 (inches),57.8,-47.75,0,top
C7,CL10A105KA8NNNC,C_0603 (inches),75,-79.45,270,top
C8,VJ0603Y104MXJAC,C_0603 (inches),71.25,-62.7,180,top
CALIB1,B3U-1000P,R_1206 (inches),84.3,-64.95,90,top
D1,DB2J40700L,D_SOD-323F,73.95,-53,270,top
D2,VJ0603Y104MXJAC,LED_0603 (inches),73.95,-75.35,0,top
D3,SML-D12M8WT86,LED_0603 (inches),79,-71.95,90,top
D4,DB2J40700L,D_SOD-323F,54.4,-44.35,180,top
D5,SML-D12M8WT86,LED_0603 (inches),79,-64.9,90,top
ID1,B3U-1000P,R_1206 (inches),84.3,-71.9,90,top
J1,3220-10-0300-00,Pin_Header_Straight_2x05_Pitch1.27mm_SMD,80.15,-58.2,90,top
L1,BRL3225T220K,L_1210 (inches),73.75,-48.75,90,top
Q1,"PSMN5R5-60YS,115",LFPAK,47.56,-71.335,90,top
Q2,"PSMN5R5-60YS,115",LFPAK-vias,55.283935,-71.3,90,top
Q3,"PSMN5R5-60YS,115",LFPAK,47.56,-65.665,90,top
Q4,"PSMN5R5-60YS,115",LFPAK-vias,55.27,-65.7,90,top
Q5,"PSMN5R5-60YS,115",LFPAK,47.46,-60.095,90,top
Q6,"PSMN5R5-60YS,115",LFPAK-vias,55.283935,-60.095,90,top
R1,ERJ-PB3D3900V,R_0603 (inches),77.8,-71.95,90,top
R2,ERJ-PB3D3900V,R_0603 (inches),77.8,-64.9,90,top
R3,RMCF0603JT10R0,R_0603 (inches),55.25,-56.2,90,top
R4,RMCF0603JT10R0,R_0603 (inches),56.6,-56.2,90,top
R5,RMCF0603JT10R0,R_0603 (inches),52.65,-56.2,90,top
R6,RMCF0603JT10R0,R_0603 (inches),53.95,-56.2,90,top
R7,RMCF0603JT10R0,R_0603 (inches),50,-56.2,90,top
R8,RMCF0603JT10R0,R_0603 (inches),51.35,-56.2,90,top
R9,ERJ-PB3D3900V,R_0603 (inches),73.95,-74.05,0,top
R10,ERJ-PB3D1002V,R_0603 (inches),83.45,-54.3,180,top
U1,STSPIN32F0,48VFQFPN,64.3,-50,180,top
U2,LTC2876IDD#PBF,8-DFN,72.3,-79.4113,270,top
U3,MA700GQ-Z,QFN-16-1EP_3x3mm_Pitch0.5mm,70.9,-65.5,90,top
Y1,CSTNE8M00GH5C000R0,3 lead 3.20mm x 1.30mm,67.7,-55.15,90,top
